,t2m_mean,t2m_historical,day_of_year
10024619,277.65192,4.681489575393823,58
10024620,277.92883,4.768623711810871,59
10024621,278.16293,4.81674784838671,60
10024622,277.8594,4.87569133479423,61
10024623,278.1082,4.949155134495704,62
10024624,278.4178,5.04277835008577,63
10024625,277.46106,5.128784030821288,64
10024626,278.34344,5.222267659505231,65
10024627,277.1736,5.3091408830348295,66
10024628,276.68704,5.399842747634041,67
10024629,278.85056,5.4641546978214155,68
10024630,277.52042,5.5221975435086605,69
10024631,277.05844,5.580684258685872,70
10024632,282.35846,5.635581411966486,71
10024633,284.33176,5.695193555878453,72
10024634,279.2581,5.74582330967355,73
10024635,278.39044,5.795972076664149,74
10024636,282.88147,5.882896013957721,75
10024637,283.52444,5.971403441390393,76
10024638,282.9426,6.0679552031726605,77
10024639,281.09018,6.140553444963183,78
10024640,282.44934,6.213804316326877,79
10024641,283.32358,6.265812323345425,80
10024642,283.7698,6.318507893880231,81
10024643,283.5846,6.355209673129469,82
10024644,282.75613,6.3931488285219995,83
10024645,282.63214,6.451668542381247,84
10024646,280.4813,6.513958789856476,85
10024647,279.20013,6.556368497522889,86
10024648,280.50845,6.59782635448427,87
10024649,284.22806,6.640688565882264,88
10024650,284.58398,6.685265071217629,89
10024651,283.2966,6.717875262004596,90
10024652,281.8974,6.737769646373245,91
10024653,280.4,6.729005246046135,92
10024654,279.46228,6.751200308450862,93
10024655,279.57538,6.800724581586659,94
10024656,280.86993,6.873172815834627,95
10024657,282.5038,6.927739585318239,96
10024658,281.33414,6.9962593388751495,97
10024659,281.19232,7.100479051543467,98
10024660,282.76755,7.184899257256755,99
10024661,283.642,7.263890460254723,100
10024662,282.00354,7.365917075552614,101
10024663,280.80145,7.47860881526298,102
10024664,281.5038,7.5840956773215416,103
10024665,280.78513,7.700476669683711,104
10024666,282.0878,7.831999392625785,105
10024667,282.50568,7.95675227467609,106
10024668,282.91956,8.057129501714961,107
10024669,282.60977,8.119751720893696,108
10024670,283.3295,8.176004995950862,109
10024671,281.91373,8.229660505589454,110
10024672,281.4008,8.302575832460008,111
10024673,282.05396,8.37403797676895,112
10024674,282.9312,8.441171140593266,113
10024675,281.25958,8.51492984430579,114
10024676,279.94864,8.59543094790081,115
10024677,281.3015,8.687125005954673,116
10024678,282.71884,8.78964565866364,117
10024679,284.63025,8.90187710397614,118
