,xvar,est,lb,hb
0,-0.580877685546852,0.7899252047100892,0.7570519541864907,0.8238200431715864
1,-0.0808776855468523,0.8001970703797996,0.7703535227274902,0.8308637003053471
2,0.419122314453148,0.8106121661375889,0.7837984589145204,0.83807537430433
3,0.919122314453148,0.8212029666185525,0.7973797380982405,0.845527323104045
4,1.41912231445315,0.8320030769962472,0.8110891751880889,0.8532944131681788
5,1.91912231445315,0.8430472517686308,0.824917379067536,0.8614542720979084
6,2.41912231445315,0.8543714197292194,0.8388539948321607,0.8700871892076353
7,2.91912231445315,0.8660127147379163,0.8528887393301028,0.8792752575217222
8,3.41912231445315,0.8780095118021025,0.8670143429513543,0.8890996428104518
9,3.91912231445315,0.8904014678592121,0.8812334545835073,0.8996339208362242
10,4.41912231445315,0.9032295665140215,0.8955720381851631,0.9109309518348309
11,4.91912231445315,0.9165361658237831,0.9100989249554896,0.9230036249443211
12,5.41912231445315,0.9303650480385544,0.924942225228173,0.9358087641436726
13,5.91912231445315,0.9447614507779795,0.9402862376678991,0.9492505142255233
14,6.41912231445315,0.9597580644980959,0.9563158624383101,0.9632082335548189
15,6.91912231445315,0.9753492875255755,0.9731164173044214,0.9775854132853293
16,7.41912231445315,0.9915220645062995,0.9907117414829157,0.9923328034074459
17,7.91912231445315,1.0082623157476331,1.0074351043085896,1.0090899474875186
18,8.41912231445315,1.025554850214964,1.022898407664251,1.0282154960427252
19,8.91912231445315,1.0433832861778793,1.03874184654156,1.0480371558032122
20,9.41912231445315,1.0617299802341449,1.0549922054989056,1.0684930988911918
21,9.91912231445315,1.0805759654291958,1.0716802673440597,1.089514355988778
22,10.4191223144531,1.0999008991604724,1.088838021958158,1.1110275042334217
23,10.9191223144531,1.119683021510499,1.106496124383077,1.132957197324103
24,11.4191223144531,1.1398991245881374,1.1246811131262366,1.1552290211933014
25,11.9191223144531,1.1605245333752963,1.1434119069573947,1.1777731488199947
26,12.4191223144531,1.1815330984761716,1.1626950133428129,1.2005293503606793
27,12.9191223144531,1.202894062596224,1.1825095964526986,1.2234560091766185
28,13.4191223144531,1.2245443124706517,1.20273654396985,1.246546456486032
29,13.9191223144531,1.2464006461954387,1.2232167150674034,1.2697944970849897
30,14.4191223144531,1.268376602862265,1.2438089645995996,1.293169193680168
31,14.9191223144531,1.2903828628698961,1.2643957645218018,1.316609855026659
32,15.4191223144531,1.3123274961364768,1.2848839665673037,1.3400257124268218
33,15.9191223144531,1.3341162420723063,1.3052012650968525,1.3633000692570005
34,16.4191223144531,1.3556528140752118,1.3252892472333724,1.3862979999482765
35,16.9191223144531,1.3768392208209688,1.3450941661040294,1.408876422793507
36,17.4191223144531,1.3975760963704689,1.3645561406508542,1.4308958021187255
37,17.9191223144531,1.4177630311262235,1.3835967322939022,1.4522334898060618
38,18.4191223144531,1.4372988959572741,1.4021042171862055,1.472799351624724
39,18.9191223144531,1.4560821523768854,1.4199158144253872,1.4925543888244184
40,19.4191223144531,1.4740119377190273,1.4367980018188369,1.511532795444974
41,19.9191223144531,1.491044773332915,1.452481637198225,1.5299204114981544
42,20.4191223144531,1.5072331615693422,1.4667388915766038,1.5480543376887763
43,20.9191223144531,1.522640761261047,1.4793807178477736,1.5662549158455354
44,21.4191223144531,1.5373332703516283,1.4902981609916572,1.5847658344044535
45,21.9191223144531,1.5513781375187372,1.4994854959043784,1.6037301929841088
46,22.4191223144531,1.5648443122676792,1.5070313610642236,1.6231987231146474
47,22.9191223144531,1.5778020294539568,1.5130900610300673,1.643157965947268
48,23.4191223144531,1.590322624350055,1.51785101118978,1.6635604115002027
49,23.9191223144531,1.6024783745693159,1.5215165752665283,1.6843463310133089
50,24.4191223144531,1.6143423653739277,1.52428957980705,1.7054560041363627
51,24.9191223144531,1.6259883751056339,1.5263677462344405,1.726835089809945
52,25.4191223144531,1.6374907776704484,1.5279420034378433,1.748436170327788
