xvar,est,lb,hb
-17.0,0.8603526445936461,0.8368339653971396,0.8843488005124737
-16.95,0.8604451430503112,0.8370787028784937,0.8842827602427711
-16.9,0.8605369431894772,0.8373215315219598,0.8842173253921621
-16.85,0.8606280547910377,0.8375624657171644,0.8841524998687187
-16.8,0.8607184876391933,0.8378015199199074,0.88408828753597
-16.75,0.8608082515223892,0.8380387086522798,0.8840246922125906
-16.7,0.8608973562332628,0.8382740465027633,0.8839617176720983
-16.65,0.8609858115685816,0.8385075481263132,0.8838993676425666
-16.6,0.8610736273291938,0.8387392282444361,0.8838376458063554
-16.55,0.8611608133199696,0.8389691016452423,0.8837765557998609
-16.5,0.8612473793497456,0.8391971831834923,0.8837161012132764
-16.45,0.8613333352312783,0.8394234877806187,0.8836562855903793
-16.4,0.861418690781185,0.8396480304247357,0.8835971124283298
-16.35,0.8615034558198962,0.8398708261706326,0.8835385851774915
-16.3,0.8615876401716042,0.8400918901397455,0.8834807072412757
-16.25,0.8616712536642118,0.8403112375201093,0.8834234819760004
-16.2,0.8617543061292859,0.8405288835662978,0.883366912690775
-16.15,0.8618368074020101,0.8407448435993322,0.8833110026474084
-16.1,0.8619187673211318,0.8409591330065771,0.8832557550603305
-16.05,0.8620001957289223,0.8411717672416151,0.883201173096553
-16.0,0.862081102471128,0.8413827618240931,0.8831472598756376
-15.95,0.8621614973969276,0.8415921323395518,0.8830940184696999
-15.9,0.862241390358884,0.8417998944392273,0.8830414519034371
-15.85,0.862320791212907,0.8420060638398358,0.8829895631541756
-15.8,0.8623997098182072,0.8422106563233238,0.8829383551519496
-15.75,0.862478156037255,0.8424136877366036,0.8828878307796104
-15.7,0.8625561397357419,0.8426151739912513,0.882837992872954
-15.65,0.8626336707825397,0.8428151310631946,0.8827888442208862
-15.6,0.8627107590496609,0.8430135749923559,0.8827403875656088
-15.55,0.8627874144122214,0.843210521882282,0.8826926256028383
-15.5,0.8628636467484038,0.8434059878997404,0.882645560982059
-15.45,0.8629394659394204,0.843599989274288,0.8825991963067937
-15.4,0.8630148818694785,0.84379254229781,0.8825535341349188
-15.35,0.8630899044257428,0.843983663324034,0.8825085769790009
-15.3,0.8631645434983068,0.844173368768011,0.8824643273066671
-15.25,0.8632388089801541,0.8443616751055663,0.8824207875410115
-15.2,0.8633127107671311,0.8445485988727243,0.8823779600610243
-15.15,0.863386258757912,0.8447341566650989,0.8823358472020635
-15.1,0.8634594628539706,0.8449183651372566,0.8822944512563499
-15.05,0.8635323329595482,0.8451012410020462,0.8822537744735032
-15.0,0.86360487898163,0.8452828010298993,0.882213819061102
-14.95,0.8636771108299097,0.8454630620480988,0.8821745871852882
-14.9,0.8637490384167688,0.8456420409400155,0.8821360809713902
-14.85,0.8638206716572446,0.8458197546443181,0.8820983025045941
-14.8,0.8638920204690116,0.8459962201541416,0.8820612538306374
-14.75,0.8639630947723502,0.8461714545162373,0.8820249369565425
-14.7,0.864033904490127,0.8463454748300797,0.8819893538513793
-14.65,0.864104459547769,0.84651829824695,0.881954506447064
-14.6,0.864174769873246,0.846689941968986,0.8819203966391889
-14.55,0.8642448453970425,0.8468604232481975,0.8818870262878881
-14.5,0.8643146960521443,0.8470297593854589,0.8818543972187299
-14.45,0.8643843317740142,0.84719796772946,0.8818225112236524
-14.4,0.8644537625005742,0.8473650656756374,0.8817913700619189
-14.35,0.8645229981721886,0.8475310706650698,0.881760975461117
-14.3,0.8645920487316456,0.8476960001833445,0.8817313291181776
-14.25,0.8646609241241426,0.8478598717593934,0.8817024327004366
-14.2,0.8647296342972699,0.8480227029643045,0.8816742878467223
-14.15,0.8647981892009944,0.8481845114100997,0.8816468961684681
-14.1,0.8648665987876494,0.8483453147484878,0.8816202592508648
-14.05,0.8649348730119184,0.8485051306695889,0.8815943786540371
-14.0,0.8650030218308243,0.8486639769006362,0.8815692559142463
-13.95,0.8650710552037192,0.8488218712046396,0.8815448925451277
-13.9,0.865138983092273,0.8489788313790434,0.8815212900389486
-13.85,0.8652068154604619,0.8491348752543374,0.8814984498678998
-13.8,0.8652745622745621,0.8492900206926621,0.8814763734854048
-13.75,0.8653422335031424,0.8494442855863811,0.8814550623274611
-13.7,0.865409839117055,0.8495976878566305,0.8814345178140036
-13.65,0.8654773890894311,0.8497502454518551,0.8814147413502933
-13.6,0.8655448933956728,0.8499019763463149,0.8813957343283216
-13.55,0.8656123620134524,0.8500528985385741,0.8813774981282442
-13.5,0.865679804922706,0.8502030300499778,0.8813600341198343
