xvar,est,lb,hb
-17.0,0.8031602879424069,0.767972160461665,0.8398255702971829
-16.95,0.803357248445967,0.7683766713195576,0.8397968370907061
-16.9,0.8035535614065449,0.7687789277195439,0.839769322289201
-16.85,0.8037492360417677,0.769178944949848,0.8397430255878571
-16.8,0.803944281579376,0.7695767384164646,0.8397179466184009
-16.75,0.8041387072571466,0.7699723236429304,0.8396940849489876
-16.7,0.8043325223228321,0.7703657162700934,0.8396714400841245
-16.65,0.804525736034088,0.7707569320558276,0.8396500114646244
-16.6,0.8047183576584068,0.7711459868747297,0.839629798467596
-16.55,0.8049103964730546,0.7715328967177887,0.8396108004064649
-16.5,0.8051018617650026,0.7719176776920079,0.8395930165310238
-16.45,0.8052927628308684,0.7723003460200125,0.8395764460275227
-16.4,0.8054831089768469,0.772680918039607,0.8395610880187955
-16.35,0.8056729095186552,0.7730594102033131,0.8395469415644158
-16.3,0.8058621737814675,0.7734358390778594,0.839534005660897
-16.25,0.8060509110998565,0.7738102213436445,0.8395222792419221
-16.2,0.8062391308177339,0.7741825737941634,0.8395117611786204
-16.15,0.8064268422882954,0.7745529133353903,0.8395024502798732
-16.1,0.8066140548739617,0.7749212569851315,0.8394943452926662
-16.05,0.8068007779463228,0.7752876218723385,0.8394874449024781
-16.0,0.8069870208860839,0.7756520252363786,0.839481747733709
-15.95,0.8071727930830118,0.776014484426271,0.8394772523501547
-15.9,0.8073581039358819,0.7763750168998856,0.839473957255512
-15.85,0.8075429628524269,0.7767336402230905,0.8394718608939383
-15.8,0.807727379249286,0.777090372068877,0.8394709616506437
-15.75,0.8079113625519552,0.7774452302164248,0.8394712578525323
-15.7,0.808094922194739,0.7777982325501445,0.8394727477688777
-15.65,0.8082780676207019,0.7781493970586661,0.8394754296120518
-15.6,0.8084608082816235,0.7784987418337888,0.8394793015382915
-15.55,0.8086431536379516,0.7788462850693941,0.8394843616485066
-15.5,0.8088251131587587,0.7791920450603124,0.8394906079891372
-15.45,0.8090066963216958,0.7795360402011505,0.8394980385530524
-15.4,0.8091879126129554,0.7798782889850752,0.8395066512804931
-15.35,0.8093687715272246,0.7802188100025536,0.8395164440600531
-15.3,0.8095492825676462,0.7805576219400574,0.8395274147297189
-15.25,0.8097294552457835,0.7808947435787217,0.8395395610779327
-15.2,0.8099092990815742,0.7812301937929589,0.8395528808447219
-15.15,0.8100888236033005,0.7815639915490356,0.8395673717228523
-15.1,0.8102680383475493,0.7818961559036106,0.8395830313590358
-15.05,0.8104469528591762,0.7822267060022231,0.8395998573551802
-15.0,0.8106255766912734,0.7825556610777491,0.8396178472696755
-14.95,0.8108039194051364,0.7828830404488137,0.8396369986187335
-14.9,0.810981990570231,0.7832088635181614,0.8396573088777605
-14.85,0.8111597997641612,0.7835331497709929,0.8396787754827689
-14.8,0.8113373565726427,0.7838559187732579,0.8397013958318454
-14.75,0.8115146705894697,0.7841771901699102,0.8397251672866423
-14.7,0.8116917514164913,0.7844969836831266,0.8397500871739177
-14.65,0.8118686086635801,0.784815319110493,0.8397761527871148
-14.6,0.8120452519486113,0.7851322163231416,0.8398033613879758
-14.55,0.8122216908974335,0.7854476952638683,0.8398317102081997
-14.5,0.8123979351438458,0.7857617759452055,0.8398611964511242
-14.45,0.8125739943295809,0.786074478447461,0.8398918172934667
-14.4,0.8127498781042726,0.7863858229167283,0.8399235698870726
-14.35,0.8129255961254472,0.7866958295628671,0.8399564513607222
-14.3,0.8131011580584939,0.7870045186574411,0.8399904588219552
-14.25,0.8132765735766536,0.7873119105316436,0.8400255893589307
-14.2,0.8134518523609969,0.7876180255741758,0.8400618400423271
-14.15,0.8136270041004118,0.7879228842291123,0.8400992079272589
-14.1,0.8138020384915845,0.7882265069937314,0.8401376900552315
-14.05,0.8139769652389867,0.7885289144163227,0.840177283456119
-14.0,0.8141517940548645,0.7888301270939753,0.8402179851501747
-13.95,0.8143265346592231,0.7891301656703306,0.8402597921500552
-13.9,0.8145011967798176,0.7894290508333329,0.8403027014628804
-13.85,0.8146757901521453,0.7897268033129373,0.8403467100923115
-13.8,0.8148503245194303,0.7900234438788203,0.8403918150406448
-13.75,0.8150248096326239,0.7903189933380581,0.8404380133109376
-13.7,0.8151992552503903,0.790613472532794,0.8404853019091397
-13.65,0.8153736711391081,0.7909069023378981,0.840533677846245
-13.6,0.8155480670728589,0.7911993036585954,0.8405831381404711
-13.55,0.8157224528334288,0.7914906974281073,0.8406336798194322
-13.5,0.8158968382103062,0.7917811046052625,0.8406852999223409
-13.45,0.8160712330006744,0.7920705461721109,0.8407379955022106
-13.4,0.8162456470094192,0.7923590431315216,0.8407917636280811
-13.35,0.8164200900491251,0.7926466165047887,0.8408466013872299
-13.3,0.816594571940076,0.7929332873292193,0.8409025058874153
-13.25,0.8167691025102659,0.7932190766557256,0.8409594742591052
-13.2,0.8169436915953922,0.7935040055464181,0.8410175036577187
-13.15,0.8171183490388679,0.7937880950721952,0.8410765912658692
-13.1,0.8172930846918287,0.7940713663103368,0.8411367342956011
-13.05,0.8174679084131349,0.7943538403421042,0.8411979299906339
-13.0,0.8176428300693841,0.7946355382503377,0.8412601756286019
-12.95,0.8178178595349193,0.7949164811170774,0.8413234685232779
-12.9,0.8179930066918402,0.7951966900211671,0.8413878060268133
-12.85,0.8181682814300127,0.7954761860358948,0.8414531855319486
-12.8,0.8183436936470865,0.7957549902266237,0.8415196044742304
-12.75,0.8185192532485025,0.7960331236484532,0.8415870603342089
-12.7,0.818694970147515,0.7963106073438779,0.8416555506396292
-12.65,0.8188708542652012,0.7965874623404741,0.8417250729676107
-12.6,0.8190469155304818,0.7968637096486008,0.8417956249468043
-12.55,0.8192231638801397,0.7971393702591155,0.8418672042595401
-12.5,0.8193996092588371,0.7974144651411152,0.8419398086439583
-12.45,0.8195762616191404,0.7976890152396932,0.8420134358961164
-12.4,0.819753130921535,0.7979630414737238,0.8420880838720843
-12.35,0.8199302271344538,0.7982365647336659,0.8421637504900081
-12.3,0.8201075602343,0.7985096058793993,0.842240433732164
-12.25,0.8202851402054677,0.7987821857380756,0.8423181316469734
-12.2,0.8204629770403754,0.7990543251020052,0.8423968423510116
-12.15,0.8206410807394868,0.7993260447265779,0.8424765640309734
-12.1,0.8208194613113411,0.799597365328191,0.842557294945625
-12.05,0.820998128772584,0.7998683075822378,0.8426390334277152
-12.0,0.8211770931479956,0.8001388921211043,0.8427217778858767
-11.95,0.8213563644705234,0.8004091395322139,0.8428055268064709
-11.9,0.8215359527813165,0.8006790703560903,0.8428902787554314
-11.85,0.8217158681297543,0.8009487050844739,0.8429760323800507
-11.8,0.8218961205734884,0.801218064158456,0.843062786410748
-11.75,0.822076720178473,0.8014871679666613,0.8431505396628056
-11.7,0.8222576770190053,0.8017560368434611,0.8432392910380574
-11.65,0.8224390011777611,0.8020246910672215,0.843329039526557
-11.6,0.8226207027458395,0.8022931508586042,0.8434197842082046
-11.55,0.8228027918227963,0.8025614363788864,0.8435115242543365
-11.5,0.8229852785166915,0.802829567728333,0.843604258929281
-11.45,0.8231681729441279,0.8030975649446093,0.8436979875918734
-11.4,0.8233514852302992,0.803365448001225,0.8437927096969384
