city,exp,year,country,lbf2023,t2m_mean_corrected,climate_absenteism_mean_lowess_corrected,climate_absenteism_min_lowess_corrected,climate_absenteism_max_lowess_corrected,climate_presenteism_mean_lowess_corrected,climate_presenteism_min_lowess_corrected,climate_presenteism_max_lowess_corrected,labor_loss_mean_lowess_corrected,labor_loss_min_lowess_corrected,labor_loss_max_lowess_corrected
Amsterdam,ssp245,2059,Netherlands,6946230.2724,11.973672771737098,785101.0765653199,392550.53828266,1177651.6148479127,2509183.0407027844,1844987.529928652,3173378.551476735,1159761245.3009226,787731065.087654,1531791425.5142024
Amsterdam,ssp245,2060,Netherlands,6946230.2724,11.986300977147671,789408.0615915032,394704.0307957516,1184112.092387196,2522948.164846445,1855108.9447401816,3190787.3849525363,1166123578.0839963,792052477.9646258,1540194678.203395
Amsterdam,ssp245,2061,Netherlands,6946230.2724,11.996899497021976,793116.0122855073,396558.0061427536,1189674.0184282043,2534798.775264473,1863822.628871092,3205774.921657681,1171601009.7711449,795772849.8207644,1547429169.721554
Amsterdam,ssp245,2062,Netherlands,6946230.2724,12.006233393622384,796402.9261867414,398201.4630933707,1194604.3892800575,2545303.7520928048,1871546.8765389929,3219060.6276464607,1176456480.5800364,799070774.464552,1553842186.6955504
Amsterdam,ssp245,2063,Netherlands,6946230.2724,12.014090190426266,799176.0741827744,399588.0370913872,1198764.1112741136,2554166.7330881315,1878063.7743296763,3230269.691846405,1180553009.8923552,801853212.152854,1559252807.6318913
Amsterdam,ssp245,2064,Netherlands,6946230.2724,12.020723440034327,801563.2878687391,400781.6439343696,1202344.9318030544,2561796.268028469,1883673.7264916876,3239918.8095651143,1184079432.1580665,804248422.7003429,1563910441.6158245
Amsterdam,ssp245,2065,Netherlands,6946230.2724,12.027531524975313,803989.9148443858,401994.9574221929,1205984.8722665263,2569551.7678426555,1889376.2998844648,3249727.2358006607,1187664076.2340486,806683178.5670158,1568644973.9011269
Amsterdam,ssp245,2066,Netherlands,6946230.2724,12.03609853557943,806900.0369895792,403450.0184947896,1210350.0554843338,2578852.5182186915,1896215.086925675,3261489.949511557,1191962945.4928436,809603049.2504212,1574322841.735299
Amsterdam,ssp245,2067,Netherlands,6946230.2724,12.04678436535751,810344.0686129743,405172.0343064871,1215516.1029194028,2589859.643287056,1904308.561240636,3275410.7253333004,1197050512.5891345,813058617.940706,1581042407.237593
Amsterdam,ssp245,2068,Netherlands,6946230.2724,12.05888040109777,814107.5522495873,407053.7761247936,1221161.3283743178,2601887.7369896965,1913152.74778669,3290622.726192533,1202609978.2418437,816834708.7677362,1588385247.7159722
