city,exp,year,country,lbf2023,t2m_mean_corrected,climate_absenteism_mean_lowess_corrected,climate_absenteism_min_lowess_corrected,climate_absenteism_max_lowess_corrected,climate_presenteism_mean_lowess_corrected,climate_presenteism_min_lowess_corrected,climate_presenteism_max_lowess_corrected,labor_loss_mean_lowess_corrected,labor_loss_min_lowess_corrected,labor_loss_max_lowess_corrected
Amsterdam,ssp370,2024,Netherlands,6946230.2724,11.412198187400731,607850.7717627113,303925.3858813557,911776.1576436888,1942691.0665531743,1428449.3136422876,2456932.819463964,897924852.0464896,609886994.3596315,1185962709.7335677
Amsterdam,ssp370,2025,Netherlands,6946230.2724,11.43862094031875,616177.6512674004,308088.8256337002,924266.4769009592,1969303.7734505003,1448017.480478345,2490590.0664221826,910225423.8228688,618241767.8491728,1202209079.7965531
Amsterdam,ssp370,2026,Netherlands,6946230.2724,11.465620619957992,624692.061179716,312346.030589858,937038.0917694976,1996515.827530286,1468026.343772323,2525005.311287828,922803017.8902668,626784699.9492658,1218821335.8311045
Amsterdam,ssp370,2027,Netherlands,6946230.2724,11.493129022929072,633365.7693943923,316682.88469719613,950048.6540915534,2024236.9989844137,1488409.5580769642,2560064.4398917104,935615929.4257016,635487463.9807898,1235744394.870692
Amsterdam,ssp370,2028,Netherlands,6946230.2724,11.521075858624386,642170.7250600964,321085.3625300482,963256.087590103,2052377.637291912,1509101.2038912848,2595654.070692589,948622721.3567302,644321915.1255563,1252923527.5879328
Amsterdam,ssp370,2029,Netherlands,6946230.2724,11.549320664613342,651061.4171787046,325530.7085893523,976592.125767992,2080792.2893031184,1529994.3303701526,2631590.2482359577,961756164.260947,653242389.9293661,1270269938.5923634
Amsterdam,ssp370,2030,Netherlands,6946230.2724,11.577667397448824,659977.109056508,329988.554528254,989965.6635846988,2109286.8405445926,1550946.2062829523,2667627.474806034,974926537.1257176,662187948.2384031,1287665126.013029
Amsterdam,ssp370,2031,Netherlands,6946230.2724,11.60593921859919,668867.5957173015,334433.79785865074,1003301.393575895,2137700.8359124945,1571838.8499358254,2703562.821889006,988059676.52498,671108216.8961743,1305011136.1538038
Amsterdam,ssp370,2032,Netherlands,6946230.2724,11.63403783484184,677712.4096743236,338856.2048371618,1016568.614511415,2165968.861319139,1592624.1627348117,2739313.559903283,1001125347.6282796,679982659.8524225,1322268035.4041631
Amsterdam,ssp370,2033,Netherlands,6946230.2724,11.662511498040766,686718.8328721012,343359.4164360506,1030078.249308092,2194753.389859244,1613789.2572495895,2775717.522468701,1014429749.9470984,689019253.4197788,1339840246.47444
Amsterdam,ssp370,2034,Netherlands,6946230.2724,11.694391339363667,696818.985295646,348409.492647823,1045228.4779434112,2227033.4770049,1637524.6154449305,2816542.338564693,1029349822.918724,699153240.0663844,1359546405.7710972
Amsterdam,ssp370,2035,Netherlands,6946230.2724,11.72737622820095,707233.6658535426,353616.8329267713,1060850.4987802566,2260318.796067904,1661999.1147559772,2858638.477379688,1044734520.8305815,709602808.4764869,1379866233.18472
