xvar,est,lb,hb,group
-17.0,0.7851848253045288,0.7385357735549348,0.8340320438373945,GDP3
-16.95,0.7857121551160595,0.7394441584467788,0.8341395988161092,GDP3
-16.9,0.7862385210454267,0.7403496178551024,0.8342487377764701,GDP3
-16.85,0.7867639175532348,0.7412521279003821,0.8343594680237529,GDP3
-16.8,0.7872883390965825,0.7421516647157415,0.8344717968461837,GDP3
-16.75,0.787811780129115,0.7430482044510877,0.8345857315113137,GDP3
-16.7,0.7883342351010658,0.7439417232774259,0.8347012792621918,GDP3
-16.65,0.7888556984593109,0.7448321973913888,0.8348184473133448,GDP3
-16.6,0.7893761646474102,0.7457196030199652,0.834937242846541,GDP3
-16.55,0.7898956281056628,0.7466039164254493,0.8350576730063518,GDP3
-16.5,0.7904140832711513,0.7474851139106119,0.8351797448954759,GDP3
-16.45,0.7909315245777904,0.7483631718241055,0.8353034655698419,GDP3
-16.4,0.7914479464563784,0.74923806656611,0.835428842033474,GDP3
-16.35,0.7919633433346429,0.7501097745942217,0.8355558812330961,GDP3
-16.3,0.7924777096372915,0.7509782724296011,0.8356845900525023,GDP3
-16.25,0.7929910397860629,0.7518435366633898,0.8358149753066464,GDP3
-16.2,0.7935033281997703,0.7527055439633878,0.8359470437354697,GDP3
-16.15,0.7940145692943579,0.7535642710810253,0.8360808019974454,GDP3
-16.1,0.7945247574829448,0.7544196948586128,0.8362162566628351,GDP3
-16.05,0.7950338871758778,0.7552717922368942,0.8363534142066494,GDP3
-16.0,0.7955419527807813,0.7561205402629038,0.8364922810013088,GDP3
-15.95,0.7960489487026043,0.7569659160981358,0.8366328633089791,GDP3
-15.9,0.7965548693436751,0.7578078970270374,0.8367751672736041,GDP3
-15.85,0.7970597091037465,0.7586464604658284,0.8369191989125933,GDP3
-15.8,0.7975634623800489,0.7594815839716594,0.8370649641081871,GDP3
-15.75,0.7980661235673424,0.7603132452521177,0.8372124685984652,GDP3
-15.7,0.7985676870579628,0.7611414221750741,0.8373617179680186,GDP3
-15.65,0.7990681472418759,0.7619660927789013,0.8375127176382542,GDP3
-15.6,0.7995674985067276,0.7627872352830498,0.8376654728573366,GDP3
-15.55,0.8000657352378933,0.7636048280989937,0.8378199886897663,GDP3
-15.5,0.8005628518185319,0.7644188498415531,0.8379762700055737,GDP3
-15.45,0.8010588426296341,0.7652292793406035,0.8381343214691409,GDP3
-15.4,0.801553702050076,0.7660360956531659,0.8382941475276324,GDP3
