city,exp,year,country,lbf2023,t2m_mean_corrected,climate_absenteism_mean_lowess_corrected,climate_absenteism_min_lowess_corrected,climate_absenteism_max_lowess_corrected,climate_presenteism_mean_lowess_corrected,climate_presenteism_min_lowess_corrected,climate_presenteism_max_lowess_corrected,labor_loss_mean_lowess_corrected,labor_loss_min_lowess_corrected,labor_loss_max_lowess_corrected
Amsterdam,ssp126,2056,Netherlands,6946230.2724,11.703549441741464,703085.6080124862,351542.8040062431,1054628.412018669,2247061.603207912,1652251.1788294965,2841872.027586183,1038606957.2965208,705440855.1704588,1371773059.4225998
Amsterdam,ssp126,2057,Netherlands,6946230.2724,11.703815694029242,702932.7213401722,351466.3606700861,1054399.0820101837,2246572.9774031644,1651891.895149558,2841254.059656632,1038381111.1694652,705287456.3472677,1371474765.9916885
Amsterdam,ssp126,2058,Netherlands,6946230.2724,11.70578920456598,703194.1633265859,351597.08166329295,1054791.2449898303,2247408.5459917597,1652506.2838176386,2842310.8081657686,1038767316.5802128,705549774.13103,1371984859.0294209
Amsterdam,ssp126,2059,Netherlands,6946230.2724,11.710204209841988,704162.522352168,352081.261176084,1056243.7835281915,2250503.421437524,1654781.9275277343,2846224.9153471543,1040197788.7868234,706521377.0358875,1373874200.537772
Amsterdam,ssp126,2060,Netherlands,6946230.2724,11.716752203672968,705842.0544312327,352921.0272156164,1058763.0816467868,2255871.205962224,1658728.8279135483,2853013.584010727,1042678814.8275218,708206535.3333167,1377151094.3217444
Amsterdam,ssp126,2061,Netherlands,6946230.2724,11.725597522357807,708329.1795791849,354164.5897895924,1062493.769368716,2263820.057935077,1664573.5720112345,2863066.5438587526,1046352827.5692012,710701992.0334563,1382003663.104964
Amsterdam,ssp126,2062,Netherlands,6946230.2724,11.736616671373437,711561.2185284173,355780.60926420864,1067341.827792563,2274149.654416829,1672168.8635419323,2876130.445291552,1051127236.4045864,713944857.9011514,1388309614.9080372
Amsterdam,ssp126,2063,Netherlands,6946230.2724,11.748548372025112,715090.1209174385,357545.06045871926,1072635.1813761047,2285428.026452131,1680461.7841561383,2890394.268747971,1056340175.6698616,717485581.6633139,1395194769.6764257
Amsterdam,ssp126,2064,Netherlands,6946230.2724,11.758990267675486,718195.445481077,359097.7227405385,1077293.1682215617,2295352.643757529,1687759.2968806834,2902945.9906342127,1060927400.4113572,720601308.6683851,1401253492.1543388
Amsterdam,ssp126,2065,Netherlands,6946230.2724,11.766777436874907,720500.8694296911,360250.4347148456,1080751.304144476,2302720.77869732,1693177.0431599272,2912264.5142344674,1064333001.8420386,722914455.4933257,1405751548.1907818
