city,exp,year,country,lbf2023,t2m_mean_corrected,climate_absenteism_mean_lowess_corrected,climate_absenteism_min_lowess_corrected,climate_absenteism_max_lowess_corrected,climate_presenteism_mean_lowess_corrected,climate_presenteism_min_lowess_corrected,climate_presenteism_max_lowess_corrected,labor_loss_mean_lowess_corrected,labor_loss_min_lowess_corrected,labor_loss_max_lowess_corrected
Amsterdam,ssp585,2024,Netherlands,6946230.2724,11.504732359398384,636879.4773399464,318439.7386699732,955319.2160099592,2035466.8095785151,1496666.771749269,2574266.8474083645,940806423.2669913,639012942.4000915,1242599904.1337323
Amsterdam,ssp585,2025,Netherlands,6946230.2724,11.537205808830272,646578.1491160638,323289.0745580319,969867.2236741176,2066463.764574719,1519458.6504227223,2613468.878726993,955133423.9455922,648744103.4903182,1261522744.4008644
Amsterdam,ssp585,2026,Netherlands,6946230.2724,11.569629317885624,656274.0461136107,328137.02305680537,984411.0691703222,2097451.8513794434,1542244.0083672265,2652659.6943906457,969456325.6862252,658472480.5067378,1280440170.8660052
Amsterdam,ssp585,2027,Netherlands,6946230.2724,11.602049613110594,665981.8761929828,332990.9380964914,998972.814289425,2128478.0763127985,1565057.4090537317,2691898.7435718286,983796855.1265292,668212830.5793506,1299380879.673865
Amsterdam,ssp585,2028,Netherlands,6946230.2724,11.634569091130327,675734.1432026903,337867.07160134515,1013601.2148038768,2159646.321675536,1587975.236526361,2731317.4068247494,998203027.362449,677997766.4401954,1318408288.284736
Amsterdam,ssp585,2029,Netherlands,6946230.2724,11.667232065186854,685545.2719649323,342772.63598246616,1028317.9079473426,2191002.689199867,1611031.3891177513,2770973.989281988,1012696150.9243312,687841761.233168,1337550540.6154177
Amsterdam,ssp585,2030,Netherlands,6946230.2724,11.69998131735222,695395.6554303443,347697.82771517214,1043093.4831454484,2222484.514755388,1634179.790261452,2810789.2392491084,1027247262.0302856,697725142.227472,1356769381.8331091
Amsterdam,ssp585,2031,Netherlands,6946230.2724,11.732695594096926,705245.1888363138,352622.5944181569,1057867.7832544092,2253963.623520856,1657326.1937654784,2850601.053276057,1041797117.417708,707607670.3147414,1375986564.520695
Amsterdam,ssp585,2032,Netherlands,6946230.2724,11.765104432264383,715011.4266829921,357505.71334149607,1072517.1400244224,2285176.519678841,1680276.8527051806,2890076.186652324,1056223927.5508924,717406623.8132118,1395041231.2886078
Amsterdam,ssp585,2033,Netherlands,6946230.2724,11.79657082053845,724520.8137931778,362260.4068965889,1086781.2206897056,2315568.5208829977,1702623.91241412,2928513.1293517035,1070271314.5258392,726947866.1579639,1413594762.8937392
Amsterdam,ssp585,2034,Netherlands,6946230.2724,11.824717335230966,733256.5348824244,366628.2674412122,1099884.8023235768,2343487.885484234,1723152.8569738509,2963822.913994439,1083175832.264358,735712850.7992356,1430638813.7295058
Amsterdam,ssp585,2035,Netherlands,6946230.2724,11.85187309169503,741719.2389260359,370859.619463018,1112578.8583889944,2370534.687607617,1743040.2114763386,2998029.1637387145,1095677045.768191,744203903.8225715,1447150187.7138329
Amsterdam,ssp585,2036,Netherlands,6946230.2724,11.878755034447964,750147.0329098981,375073.516454949,1125220.5493647873,2397469.917180041,1762845.5273384133,3032094.307021487,1108126689.6899948,752659929.8419081,1463593449.5381036
Amsterdam,ssp585,2037,Netherlands,6946230.2724,11.905910623742464,758721.6714322346,379360.8357161173,1138082.5071482926,2424874.461897431,1782995.9278659057,3066752.995928773,1120793254.2222662,761263292.3102046,1480323216.134349
Amsterdam,ssp585,2038,Netherlands,6946230.2724,11.932802355784103,767269.0131530549,383634.5065765274,1150903.5197295228,2452191.766037172,1803082.1809098327,3101301.351164328,1133419495.5739114,769839266.536179,1496999724.6116648
Amsterdam,ssp585,2039,Netherlands,6946230.2724,11.95831726537777,775388.6464376729,387694.3232188365,1163082.9696564495,2478142.114014809,1822163.3191286845,3134120.9089007503,1145413920.611195,777986099.5572139,1512841741.6651993
Amsterdam,ssp585,2040,Netherlands,6946230.2724,11.98226437987442,783008.4090003566,391504.2045001783,1174512.6135004752,2502494.875165149,1840069.761150993,3164919.9891791204,1156669930.2924645,785631387.3531201,1527708473.231836
Amsterdam,ssp585,2041,Netherlands,6946230.2724,12.004575855034084,790100.550004403,395050.2750022015,1185150.825006547,2525161.357814075,1856736.2925105009,3193586.423117477,1167146530.7305715,792747286.1254288,1541545775.335735
Amsterdam,ssp585,2042,Netherlands,6946230.2724,12.026006418441066,796869.2763414234,398434.6381707117,1195303.9145120794,2546794.207187192,1872642.7994024889,3220945.6149717164,1177145378.92992,799538686.8328038,1554752071.0270648
Amsterdam,ssp585,2043,Netherlands,6946230.2724,12.047518784235228,803567.6781120698,401783.8390560349,1205351.517168047,2568202.299246165,1888384.04356352,3248020.554928678,1187040342.7899115,806259527.3954735,1567821158.1843717
Amsterdam,ssp585,2044,Netherlands,6946230.2724,12.070458064610188,810654.7291596298,405327.3645798149,1215982.0937393869,2590852.514394185,1905038.6135252852,3276666.415262915,1197509424.2798796,813370319.1605873,1581648529.3992114
Amsterdam,ssp585,2045,Netherlands,6946230.2724,12.095079767522668,818267.4253766882,409133.7126883441,1227401.138064977,2615182.69150388,1922928.449635368,3307436.9333722503,1208754995.4659748,821008516.9395128,1596501473.9924502
Amsterdam,ssp585,2046,Netherlands,6946230.2724,12.121446630840309,826451.5141358469,413225.7570679234,1239677.2712037065,2641339.0391781563,1942161.0582194023,3340517.020136763,1220844634.945901,829220021.352713,1612469248.53912
Amsterdam,ssp585,2047,Netherlands,6946230.2724,12.150008350255288,835381.8213019827,417690.91065099137,1253072.7319529103,2669880.300881125,1963147.2800598051,3376613.3217022754,1234036597.6995614,838180243.9094229,1629892951.489747
Amsterdam,ssp585,2048,Netherlands,6946230.2724,12.180562971410588,845048.740475158,422524.370237579,1267573.110712688,2700775.774558619,1985864.5401167728,3415687.0090002986,1248316693.0314429,847879546.0295027,1648753840.0334103
Amsterdam,ssp585,2049,Netherlands,6946230.2724,12.213371199101712,855516.3298695602,427758.1649347801,1283274.4948042626,2734230.190263098,2010463.3751935929,3457997.0053323954,1263779548.546101,858382200.5139593,1669176896.5782733
Amsterdam,ssp585,2050,Netherlands,6946230.2724,12.248252115952775,866658.5533919407,433329.27669597033,1299987.8300878578,2769840.736640642,2036647.6004712123,3503033.8728098734,1280238982.13175,869561749.0647457,1690916215.1987722
Amsterdam,ssp585,2051,Netherlands,6946230.2724,12.284077598294768,878059.8510345293,439029.92551726464,1317089.776551731,2806279.2839063536,2063440.6499312797,3549117.917881239,1297081123.2861874,881001239.6010059,1713161006.9714124
Amsterdam,ssp585,2052,Netherlands,6946230.2724,12.320081357937356,889481.2401974461,444740.62009872304,1334221.8602960946,2842782.0436710347,2090280.9144641492,3595283.172877809,1313952943.8886883,892460888.9616259,1735444998.8158035
Amsterdam,ssp585,2053,Netherlands,6946230.2724,12.356618240111702,901112.9404424476,450556.47022122383,1351669.4106636092,2879956.957654115,2117615.410039903,3642298.5052680783,1331135438.683046,904131553.9196368,1758139323.4464495
Amsterdam,ssp585,2054,Netherlands,6946230.2724,12.393315578523406,912858.0512834012,456429.0256417007,1369287.0769250265,2917494.331901716,2145216.420516123,3689772.2432871033,1348485465.044839,915916009.384637,1781054920.7050593
Amsterdam,ssp585,2055,Netherlands,6946230.2724,12.430080697978129,924666.1545436368,462333.0772718184,1386999.2318153807,2955233.029921459,2172965.463177676,3737500.596665052,1365928544.6055813,927763668.2855228,1804093420.925624
Amsterdam,ssp585,2056,Netherlands,6946230.2724,12.466610366773237,936494.9997391748,468247.49986958737,1404742.4996087025,2993038.019166428,2200763.2493871897,3785312.7889454174,1383402264.415576,939632138.604523,1827172390.2266767
Amsterdam,ssp585,2057,Netherlands,6946230.2724,12.503149802160678,948418.7071400676,474209.35357003374,1422628.0607100567,3031146.188019684,2228783.96177931,3833508.414259794,1401016115.8758016,951595788.9051732,1850436442.8464148
Amsterdam,ssp585,2058,Netherlands,6946230.2724,12.539782627124469,960443.8848328062,480221.9424164031,1440665.8272491528,3069578.6559256557,2257043.129357294,3882114.182493963,1418779860.5351648,963661249.4102387,1873898471.6600869
Amsterdam,ssp585,2059,Netherlands,6946230.2724,12.575611764008672,972257.7371208592,486128.86856042966,1458386.6056812357,3107335.7278382885,2284805.6822342062,3929865.7734422977,1436231432.6325305,975514676.5974252,1896948188.667632
Amsterdam,ssp585,2060,Netherlands,6946230.2724,12.61002056154899,983704.4703178168,491852.2351589084,1475556.705476674,3143919.4871358164,2311705.5052470323,3976133.469024365,1453140691.762828,986999754.8913704,1919281628.6343136
Amsterdam,ssp585,2061,Netherlands,6946230.2724,12.642449695428288,994550.7047636312,497275.35238181567,1491826.0571453786,3178584.0524245696,2337194.1561946715,4019973.948654352,1469162886.538936,997882322.8399086,1940443450.238052
Amsterdam,ssp585,2062,Netherlands,6946230.2724,12.672713334674516,1004678.1650405632,502339.08252028166,1507017.2475607588,3210951.41546965,2360993.6878454634,4060909.143093711,1484123299.0171905,1008043708.8177148,1960202889.216672
Amsterdam,ssp585,2063,Netherlands,6946230.2724,12.700833030536268,1014091.0639973984,507045.5319986992,1521136.595996078,3241035.0405357336,2383114.0003941297,4098956.080677277,1498028152.4710186,1017488139.7861276,1978568165.1559908
Amsterdam,ssp585,2064,Netherlands,6946230.2724,12.728143858542314,1023233.0924758523,511616.5462379262,1534849.6387137263,3270252.963552869,2404597.7673184187,4135908.159787138,1511532872.6264408,1026660792.8945434,1996404952.358368
Amsterdam,ssp585,2065,Netherlands,6946230.2724,12.755616989316378,1032481.675596463,516240.8377982315,1548722.5133946051,3299811.4352062847,2426331.937651816,4173290.932760604,1525194996.6476593,1035940357.5896049,2014449635.7057436
Amsterdam,ssp585,2066,Netherlands,6946230.2724,12.784202960692046,1042179.4381198274,521089.7190599137,1563269.1571796765,3330805.4842309803,2449121.6795817567,4212489.288880038,1539520654.16674,1045670606.381164,2033370701.9523196
Amsterdam,ssp585,2067,Netherlands,6946230.2724,12.81457274925618,1052497.02812043,526248.514060215,1578745.5421805815,3363780.501872904,2473368.0160831707,4254192.98766245,1554761928.6787343,1056022758.9929914,2053501098.3645144
Amsterdam,ssp585,2068,Netherlands,6946230.2724,12.845792515759037,1063110.570858189,531555.2854290943,1594665.85628723,3397701.384462787,2498309.8415169087,4297092.927408486,1570440388.3191812,1066671855.7459068,2074208920.8924816
Amsterdam,ssp585,2069,Netherlands,6946230.2724,12.877332338077183,1073793.3207329214,536896.6603664607,1610689.981099325,3431843.453062433,2523414.303722526,4340272.602402156,1586221081.618138,1077390391.4708912,2095051771.765406
Amsterdam,ssp585,2070,Netherlands,6946230.2724,12.909431116970923,1084507.0400967766,542253.5200483883,1626760.5601451057,3466084.5001492985,2548591.5442275708,4383577.456070844,1602047523.4383218,1088140000.4288306,2115955046.4478304
Amsterdam,ssp585,2071,Netherlands,6946230.2724,12.943296759082568,1095638.3104786356,547819.1552393178,1643457.4657178898,3501660.0402897173,2574750.029624941,4428570.050954312,1618490776.9061744,1099308559.1474595,2137672994.6649084
Amsterdam,ssp585,2072,Netherlands,6946230.2724,12.979930811529147,1107538.9132501362,553769.4566250681,1661308.3698751424,3539694.366747438,2602716.446137974,4476672.287356722,1636070497.9154558,1111249027.4211662,2160891968.409768
Amsterdam,ssp585,2073,Netherlands,6946230.2724,13.01999911803142,1120618.366061996,560309.183030998,1680927.5490929317,3581496.2979341284,2633453.1602458325,4529539.435622253,1655391631.1220183,1124372294.7325802,2186410967.511472
Amsterdam,ssp585,2074,Netherlands,6946230.2724,13.063288658547185,1135004.9994520715,567502.4997260359,1702507.4991780454,3627475.978248816,2667261.7487125145,4587690.207784948,1676643748.0203362,1138807121.5105226,2214480374.5301943
