city,exp,year,country,adult_population,t2m_mean_corrected,osa_person_days_corrected,yld_diff_mean_corrected,yld_diff_max_corrected,yld_diff_min_corrected,yll_diff_corrected,yll_diff_min_corrected,yll_diff_max_corrected,money_cost_corrected,money_cost_min_corrected,money_cost_max_corrected,population_adult
Amsterdam,ssp245,2024,Netherlands,14475086.0,11.555757904552655,101655026.66982311,22280.553790649537,26699.870069467033,17861.23751183204,330.931946219023,243.4121026311406,418.4517898069055,2828096848.6534324,1414048424.3267162,4242145272.9801483,14475086.0
Amsterdam,ssp245,2025,Netherlands,14595382.5,11.371061120069653,93411463.95920435,20473.745525308437,24215.508704623022,16731.982345993853,304.09551381647645,229.99388642986733,378.1971412030857,2598756554.4513826,1299378277.2256913,3898134831.677074,14595382.5
Amsterdam,ssp245,2026,Netherlands,14699932.499999998,11.650637381864712,106343889.6101729,23308.24977757552,28112.95205149026,18503.54750366078,346.19626308791953,251.04426106558884,441.34826511025005,2958543506.726128,1479271753.363064,4437815260.089192,14699932.499999998
Amsterdam,ssp245,2027,Netherlands,14791270.499999998,11.592594950414997,104590136.22195265,22923.865473308066,27584.42363312251,18263.30731349362,340.4870223256595,248.18964068445882,432.7844039668603,2909753155.741816,1454876577.870908,4364629733.612724,14791270.499999998
Amsterdam,ssp245,2028,Netherlands,14874529.999999998,11.572235188476016,104913320.17566195,22994.70031247723,27681.82153698011,18307.57908797435,341.53912863354685,248.7156938384025,434.36256342869126,2918744305.0333233,1459372152.5166616,4378116457.549985,14874529.999999998
Amsterdam,ssp245,2029,Netherlands,14951314.5,11.566821112079417,105313244.49224815,23082.354957208452,27802.34667348554,18362.36324093136,342.8410586685275,249.36665885589287,436.3154584811623,2929870411.9902444,1464935205.9951222,4394805617.985367,14951314.5
Amsterdam,ssp245,2030,Netherlands,15019113.5,11.476717211725179,102833061.76326501,22538.75326318475,27054.89434420295,18022.612182166547,334.766970014288,245.3296145287731,424.20432549980296,2860870410.8127027,1430435205.4063513,4291305616.219054,15019113.5
Amsterdam,ssp245,2031,Netherlands,15076884.499999998,11.699489975259176,113930622.57206395,24971.09535826397,30399.36472493688,19542.82599159106,370.8944249670906,263.39334200517436,478.3955079290066,3169610448.361837,1584805224.1809185,4754415672.542755,15076884.499999998
Amsterdam,ssp245,2032,Netherlands,15124513.0,11.572242104205143,108193256.73473844,23713.59051720632,28670.295568482616,18756.885465930034,352.216768731913,254.0545138875856,450.37902357624046,3009993882.652682,1504996941.326341,4514990823.979023,15124513.0
Amsterdam,ssp245,2033,Netherlands,15164073.5,11.63242472896155,112865689.51754399,24737.685373711647,30078.425996177437,19396.944751245857,367.42759819156936,261.65992861741375,473.195267765725,3139983445.013577,1569991722.5067885,4709975167.520366,15164073.5
Amsterdam,ssp245,2034,Netherlands,15198826.0,11.762949813486536,120435568.54274097,26396.83694087811,32359.759401031326,20433.9144807249,392.0708930734621,273.98157605836013,510.1602100885639,3350581501.1763945,1675290750.5881972,5025872251.764591,15198826.0
Amsterdam,ssp245,2035,Netherlands,15228836.0,11.86415532681186,127944328.26268977,28042.59249593538,34622.67328923507,21462.511702635693,416.51521766042765,286.2037383518429,546.8266969690125,3559479185.796094,1779739592.898047,5339218778.694141,15228836.0
Amsterdam,ssp245,2036,Netherlands,15255150.5,11.85694254024268,130027974.5533784,28499.28209389453,35250.6214864289,21747.94270136016,423.29840531773186,289.595332180495,557.0014784549687,3617447332.5906816,1808723666.2953408,5426170998.886023,15255150.5
Amsterdam,ssp245,2037,Netherlands,15277882.000000002,11.769910890059684,123733848.80230567,27119.74768270051,33353.761671037115,20885.733694363895,402.80825000730863,279.3502545252834,526.2662454893339,3442341410.288871,1721170705.1444354,5163512115.433306,15277882.000000002
Amsterdam,ssp245,2038,Netherlands,15295838.000000002,11.74737577135322,122650490.25174999,26882.29923326365,33027.27005306144,20737.32841346586,399.2814401157244,277.5868495794913,520.9760306519574,3412201799.8519053,1706100899.9259527,5118302699.777858,15295838.000000002
Amsterdam,ssp245,2039,Netherlands,15311246.5,11.787904013402718,125774124.79479793,27566.9314618769,33968.63936740465,21165.22355634914,409.45024821574447,282.67125362950134,536.2292428019878,3499102972.346113,1749551486.1730566,5248654458.51917,15311246.5
Amsterdam,ssp245,2040,Netherlands,15324504.5,11.723303123795963,123614599.1637254,27093.610775614427,33317.82342379376,20869.398127435095,402.42003983931113,279.15614944128464,525.6839302373379,3439023821.9893055,1719511910.9946527,5158535732.983958,15324504.5
Amsterdam,ssp245,2041,Netherlands,15341179.5,11.607375188470145,118271751.16317576,25922.575597411764,31707.650053765094,20137.501141058434,385.0267131628324,270.45948610304526,499.5939402226195,3290382952.0964246,1645191476.0482123,4935574428.144637,15341179.5
Amsterdam,ssp245,2042,Netherlands,15356574.5,11.579206716305361,117089404.02033055,25663.431018158015,31351.32625729119,19975.535779024838,381.1776517449531,268.5349553941056,493.8203480958007,3257489426.4318733,1628744713.2159367,4886234139.64781,15356574.5
Amsterdam,ssp245,2043,Netherlands,15362421.5,11.755446675362982,128286349.63985723,28117.556085451542,34725.748224819785,21509.363946083293,417.62864808981703,286.76045356653765,548.4968426130965,3568994402.216046,1784497201.108023,5353491603.324069,15362421.5
Amsterdam,ssp245,2044,Netherlands,15364564.000000002,11.71776830943394,126956879.89100412,27826.16545556592,34325.08610872706,21327.24480240478,413.300637701739,284.59644837249857,542.0048270309796,3532007847.4899006,1766003923.7449503,5298011771.234851,15364564.000000002
Amsterdam,ssp245,2045,Netherlands,15367055.0,11.7995066707688,131975903.23693186,28926.22536700214,35837.66848695186,22014.782247052415,429.63977230628245,292.7660156747703,566.5135289377946,3671639743.451499,1835819871.7257495,5507459615.177248,15367055.0
Amsterdam,ssp245,2046,Netherlands,15370214.499999998,11.787698455179253,132880084.40392095,29124.402061136738,36110.16144138693,22138.64268088654,432.58328078912587,294.237769916192,570.9287916620598,3696794543.8853116,1848397271.9426558,5545191815.827968,15370214.499999998
Amsterdam,ssp245,2047,Netherlands,15372084.5,11.96236346047366,145369881.86148098,31861.891914848522,39874.20999024064,23849.57383945641,473.24308007221407,314.5676695577361,631.9184905866921,4044267344.662467,2022133672.3312335,6066401016.9937,15372084.5
Amsterdam,ssp245,2048,Netherlands,15372016.999999998,11.950076671427603,146853213.19499493,32187.00563178309,40321.24135102567,24052.769912540512,478.071977778196,316.9821184107271,639.161837145665,4085534410.416574,2042767205.208287,6128301615.624861,15372016.999999998
Amsterdam,ssp245,2049,Netherlands,15370918.000000002,11.886586449912805,142764615.4453216,31290.87461815605,39089.06120728849,23492.688029023615,464.76178884872104,310.3270239459896,619.1965537514523,3971787448.8539386,1985893724.4269693,5957681173.280908,15370918.000000002
Amsterdam,ssp245,2050,Netherlands,15368684.5,11.791878231420956,136461571.09846172,29909.385446241562,37189.51359590607,22629.257296577056,444.24259957551146,300.0674293093848,588.4177698416381,3796433406.47911,1898216703.239555,5694650109.718664,15368684.5
Amsterdam,ssp245,2051,Netherlands,15364012.499999998,11.710971325633874,129714553.45575643,28430.587058799305,35156.16581317297,21705.008304425646,422.27808141226456,289.08517022776135,555.4709925967677,3608727791.142278,1804363895.571139,5413091686.713417,15364012.499999998
Amsterdam,ssp245,2052,Netherlands,15358043.499999998,11.953871517994145,147854988.93541253,32406.572917354068,40623.14636868577,24189.999466022375,481.33319964111683,318.61272934218755,644.0536699400461,4113404343.7326508,2056702171.8663254,6170106515.598976,15358043.499999998
Amsterdam,ssp245,2053,Netherlands,15351454.500000002,11.975324579189188,148204641.1504179,32483.209019273054,40728.52100882437,24237.89702972174,482.4714718132087,319.18186542823344,645.7610781981839,4123131854.1153207,2061565927.0576603,6184697781.172981,15351454.500000002
Amsterdam,ssp245,2054,Netherlands,15342758.5,11.877975729116274,143556746.63926145,31464.492414088076,39327.78567669503,23601.19915148113,467.34052525024447,311.6163921467513,623.0646583537377,3993824959.5082555,1996912479.7541277,5990737439.262383,15342758.5
Amsterdam,ssp245,2055,Netherlands,15332216.5,11.79300745694964,137389423.74356657,30112.750409552216,37469.140420458214,22756.36039864621,447.2631691598011,301.57771410152964,592.9486242180728,3822246760.0101495,1911123380.0050747,5733370140.015224,15332216.5
Amsterdam,ssp245,2056,Netherlands,15318620.000000002,11.998312640809216,150964775.68450275,33088.17001304507,41560.342375260894,24615.99765082925,491.45692706430884,323.6745930537835,659.2392610748343,4199920263.2419786,2099960131.6209893,6299880394.862968,15318620.000000002
Amsterdam,ssp245,2057,Netherlands,15302362.0,12.152552166476378,159777198.02472192,35019.659841038316,44216.1408887516,25823.17879332503,520.1452484537185,338.01875374848834,702.2717431589488,4445086534.559986,2222543267.279993,6667629801.839979,15302362.0
