city,exp,year,country,adult_population,t2m_mean_corrected,osa_person_days_corrected,yld_diff_mean_corrected,yld_diff_max_corrected,yld_diff_min_corrected,yll_diff_corrected,yll_diff_min_corrected,yll_diff_max_corrected,money_cost_corrected,money_cost_min_corrected,money_cost_max_corrected,population_adult
Amsterdam,ssp585,2024,Netherlands,14475086.0,11.555757904552655,101655026.66982311,22280.553790649537,25749.656607494922,18811.450973804152,330.931946219023,262.2300663884555,399.63382604959054,2828096848.6534324,1414048424.3267162,4242145272.9801483,14475086.0
Amsterdam,ssp585,2025,Netherlands,14595382.5,11.6031498536404,103251742.30679436,22630.518861766526,26230.858580280783,19030.179143252266,336.12995984030266,264.8290731990953,407.4308464815099,2872518325.967883,1436259162.9839416,4308777488.951824,14595382.5
Amsterdam,ssp585,2026,Netherlands,14699932.499999998,11.55563673182936,102682524.80248284,22505.758860821537,26059.313578981422,18952.20414266165,334.2769058134162,263.9025461856521,404.6512654411803,2856682392.5873313,1428341196.2936656,4285023588.8809967,14699932.499999998
Amsterdam,ssp585,2027,Netherlands,14791270.499999998,11.783190122098139,113555735.33650868,24888.928292936784,29336.17154813989,20441.68503773368,369.67400167333705,281.6010941156125,457.74690923106164,3159180886.3007526,1579590443.1503763,4738771329.451129,14791270.499999998
Amsterdam,ssp585,2028,Netherlands,14874529.999999998,11.804928957014356,117577399.22165658,25770.388870503448,30548.179842294052,20992.597898712847,382.766291352957,288.1472389554225,477.38534375049164,3271065712.1920505,1635532856.0960252,4906598568.288075,14874529.999999998
Amsterdam,ssp585,2029,Netherlands,14951314.5,11.703308685216284,111692126.67889993,24480.4661214061,28774.536062285202,20186.396180527005,363.6071335581355,278.5676600580117,448.64660705825935,3107334303.3587766,1553667151.6793883,4661001455.038165,14951314.5
Amsterdam,ssp585,2030,Netherlands,15019113.5,11.795780722183657,116977256.77798523,25638.850800657674,30367.31499625611,20910.386605059237,380.8125630091746,287.1703747835313,474.4547512348179,3254369430.5688844,1627184715.2844422,4881554145.853327,15019113.5
Amsterdam,ssp585,2031,Netherlands,15076884.499999998,11.665683979018915,110612729.53449738,24243.885925372666,28449.238292739225,20038.533558006107,360.0932197907364,276.81070317431215,443.3757364071606,3077304901.345584,1538652450.672792,4615957352.018375,15076884.499999998
Amsterdam,ssp585,2032,Netherlands,15124513.0,11.80778601862056,120501078.04767331,26411.195188534515,31429.288529586767,21393.101847482263,392.2841554046356,292.90617098126177,491.66213982800946,3352404010.4071255,1676202005.2035627,5028606015.610688,15124513.0
Amsterdam,ssp585,2033,Netherlands,15164073.5,11.819257595185475,120014206.78668502,26304.48367927681,31282.56020435742,21326.407154196197,390.69917471813903,292.1136806380135,489.28466879826465,3338858993.2642655,1669429496.6321328,5008288489.896399,15164073.5
Amsterdam,ssp585,2034,Netherlands,15198826.0,12.075389923871695,136315778.9401031,29877.431000573924,36195.36277114096,23559.49923000689,443.7679817991982,318.64808417854306,568.8878794198531,3792377391.1779532,1896188695.5889766,5688566086.76693,15198826.0
Amsterdam,ssp585,2035,Netherlands,15228836.0,11.96121969083953,129540179.20059323,28392.368043969018,34153.401205809205,22631.334882128824,421.7104163048706,307.6193014313793,535.8015311783621,3603876606.7230864,1801938303.3615432,5405814910.084629,15228836.0
Amsterdam,ssp585,2036,Netherlands,15255150.5,11.944432375344881,130894313.89880046,28689.164690151425,34561.49659431002,22816.832785992832,426.11872198144056,309.82345426966424,542.4139896932169,3641549353.444114,1820774676.722057,5462324030.166171,15255150.5
Amsterdam,ssp585,2037,Netherlands,15277882.000000002,12.065426348662445,136864922.26691505,29997.791181792978,36360.85802031716,23634.7243432688,445.55568552471414,319.541936041301,571.5694350081272,3807654850.275573,1903827425.1377864,5711482275.413359,15277882.000000002
Amsterdam,ssp585,2038,Netherlands,15295838.000000002,11.995333747035538,135184203.50701037,29629.414467293318,35854.34003788012,23404.488896706513,440.08420468915597,316.80619562352194,563.3622137547899,3760896361.452418,1880448180.726209,5641344542.178627,15295838.000000002
Amsterdam,ssp585,2039,Netherlands,15311246.5,12.027393209699664,137839357.82255936,30211.36609809858,36654.52353023736,23768.208665959806,448.7279030279549,321.1280447929214,576.3277612629886,3834764165.126121,1917382082.5630605,5752146247.689181,15311246.5
Amsterdam,ssp585,2040,Netherlands,15324504.5,12.063100103260336,142504252.45494187,31233.808757250907,38060.382186571806,24407.235327930008,463.9141924833227,328.7211895206053,599.1071954460404,3964544012.1374216,1982272006.0687108,5946816018.206133,15324504.5
Amsterdam,ssp585,2041,Netherlands,15341179.5,12.051926893031718,141164080.72179857,30940.072486972924,37656.49481493958,24223.65015900627,459.55134241632743,326.5397644871077,592.5629203455471,3927259722.5226364,1963629861.2613182,5890889583.783955,15341179.5
Amsterdam,ssp585,2042,Netherlands,15356574.5,11.998175943887453,138276299.5579188,30307.134149684207,36786.2046011676,23828.06369820082,450.1503410873777,321.8392638226328,578.4614183521227,3846920116.339715,1923460058.1698575,5770380174.509573,15356574.5
Amsterdam,ssp585,2043,Netherlands,15362421.5,12.25266658318418,153626534.45322365,33671.56919523048,41412.30278879372,25930.83560166724,500.1221258110414,346.82515618446473,653.4190954376181,4273971806.3117,2136985903.15585,6410957709.46755,15362421.5
Amsterdam,ssp585,2044,Netherlands,15364564.000000002,12.096538948690304,147096248.85164014,32240.2737209108,39444.271511604165,25036.27593021744,478.8631660301596,336.19567629402377,621.5306557662957,4092295791.5030303,2046147895.7515152,6138443687.254545,15364564.000000002
Amsterdam,ssp585,2045,Netherlands,15367055.0,12.136606346802258,150322073.8295245,32947.303853049845,40416.43794329534,25478.16976280434,489.3646490661205,341.4464178120042,637.2828803202367,4182039956.185535,2091019978.0927675,6273059934.278302,15367055.0
Amsterdam,ssp585,2046,Netherlands,15370214.499999998,12.201136568171778,156204005.96540558,34236.494458174464,42189.07502534169,26283.91389100723,508.5129323632932,351.02055946059056,666.005305265996,4345678433.124859,2172839216.5624294,6518517649.687288,15370214.499999998
Amsterdam,ssp585,2047,Netherlands,15372084.5,12.170618819157495,153395187.0300526,33620.86291069984,41342.58164756409,25899.144173835586,499.3689879140693,346.4485872359786,652.2893885921601,4267535598.0901527,2133767799.0450764,6401303397.135229,15372084.5
