city,exp,year,country,adult_population,t2m_mean_corrected,osa_person_days_corrected,yld_diff_mean_corrected,yld_diff_max_corrected,yld_diff_min_corrected,yll_diff_corrected,yll_diff_min_corrected,yll_diff_max_corrected,money_cost_corrected,money_cost_min_corrected,money_cost_max_corrected,population_adult
Amsterdam,ssp126,2024,Netherlands,14475086.0,11.555757904552655,101655026.66982311,22280.553790649537,26014.375632032436,18546.73194926664,330.931946219023,256.98758855691653,404.8763038811296,2828096848.6534324,1414048424.3267162,4242145272.9801483,14475086.0
Amsterdam,ssp126,2025,Netherlands,14595382.5,11.813230709657581,114270047.01399311,25045.48975649502,29816.162585069975,20274.816927920067,371.99940122691464,277.5213160608624,466.47748639296697,3179053416.663774,1589526708.331887,4768580124.995661,14595382.5
Amsterdam,ssp126,2026,Netherlands,14699932.499999998,11.617984217026075,106141229.92917386,23263.83121735655,27366.382093754575,19161.28034095852,345.5365164442933,264.28987366955164,426.7831592190347,2952905406.7328634,1476452703.3664317,4429358110.099295,14699932.499999998
Amsterdam,ssp126,2027,Netherlands,14791270.499999998,11.567097327762925,103929325.20336613,22779.030181563077,26699.78066953855,18858.279693587603,338.33579101297573,260.68951095389286,415.9820710720587,2891369042.132858,1445684521.066429,4337053563.199286,14791270.499999998
Amsterdam,ssp126,2028,Netherlands,14874529.999999998,11.572623386749568,106638739.47537035,23372.874405564,27516.316477539825,19229.432333588178,347.1561294411016,265.09968016795585,429.21257871424746,2966746386.622063,1483373193.3110316,4450119579.933095,14874529.999999998
Amsterdam,ssp126,2029,Netherlands,14951314.5,11.611944383695622,107902228.24071385,23649.80345002285,27897.09391367074,19402.51298637496,351.26934262729367,267.1562867610519,435.38239849353556,3001897315.3329716,1500948657.6664858,4502845972.999457,14951314.5
Amsterdam,ssp126,2030,Netherlands,15019113.5,11.585092569678554,107254330.3345308,23507.79842948958,27701.837010437495,19313.759848541667,349.16014919074286,266.10169004277645,432.21860833870926,2983872451.371482,1491936225.685741,4475808677.057222,15019113.5
Amsterdam,ssp126,2031,Netherlands,15076884.499999998,11.496721723221313,103800154.48351134,22750.718790909974,26660.852507390533,18840.58507442941,337.91528334978955,260.4792571222998,415.35130957727927,2887775444.08142,1443887722.04071,4331663166.122129,15076884.499999998
Amsterdam,ssp126,2032,Netherlands,15124513.0,11.417845846365505,101920738.63221087,22338.7920289811,26094.453209738334,18583.130848223867,331.79695584744275,257.4200933711264,406.1738183237591,2835489096.6129847,1417744548.3064923,4253233644.919477,15124513.0
Amsterdam,ssp126,2033,Netherlands,15164073.5,11.693499437473303,116784132.9100293,25596.522281653633,30573.83230716307,20619.2122561442,380.1838596427235,281.61354526876676,478.75417401668017,3248996621.960611,1624498310.9803054,4873494932.940916,15164073.5
Amsterdam,ssp126,2034,Netherlands,15198826.0,11.526342307589104,108239261.75064144,23723.673808363143,27998.665656388643,19448.681960337643,352.3665353489448,267.70488312187746,437.028187576012,3011273766.636384,1505636883.318192,4516910649.9545765,15198826.0
Amsterdam,ssp126,2035,Netherlands,15228836.0,11.67975672068121,115078002.33778632,25222.575854860654,30059.655970322718,20385.495739398586,374.6296521502592,278.83644152253464,470.4228627779838,3201531163.0175633,1600765581.5087817,4802296744.526345,15228836.0
Amsterdam,ssp126,2036,Netherlands,15255150.5,11.624565878122471,114576400.4779824,25112.635721205,29908.488286546195,20316.783155863803,372.9967168677653,278.0199738812877,467.97345985424306,3187576332.789664,1593788166.394832,4781364499.184496,15255150.5
Amsterdam,ssp126,2037,Netherlands,15277882.000000002,11.796746114154459,125799208.51400998,27572.42926334803,33290.70440699287,21854.1541197032,409.53190678482065,296.2875688398153,522.7762447298259,3499800814.7409267,1749900407.3704634,5249701222.11139,15277882.000000002
Amsterdam,ssp126,2038,Netherlands,15295838.000000002,11.827903586074394,127053847.09727857,27847.41854187265,33668.814664964215,22026.022418781085,413.6163087250331,298.3297698099216,528.9028476401446,3534705526.684636,1767352763.342318,5302058290.026955,15295838.000000002
Amsterdam,ssp126,2039,Netherlands,15311246.5,11.674570520664975,119155034.14314048,26116.17186699307,31288.350487004795,20943.99324698135,387.90218882987733,285.4727098623437,490.331667797411,3314956353.86455,1657478176.932275,4972434530.796825,15311246.5
Amsterdam,ssp126,2040,Netherlands,15324504.5,11.639609290147439,118289435.59722835,25926.451637752056,31027.4851717984,20825.418103705713,385.0842837952989,284.06375734505446,486.1048102455436,3290874942.447052,1645437471.223526,4936312413.670578,15324504.5
Amsterdam,ssp126,2041,Netherlands,15341179.5,11.509455988867282,110766771.43405375,24277.64853349461,28760.38090344441,19794.916163544807,360.59469411315274,271.8189625039814,449.37042572232417,3081590428.8297377,1540795214.4148688,4622385643.244606,15341179.5
Amsterdam,ssp126,2042,Netherlands,15356574.5,11.589247921577611,115760076.6577263,25372.071596217364,30265.212614688193,20478.930577746527,376.8501048869143,279.9466678908622,473.7535418829665,3220506832.96682,1610253416.48341,4830760249.45023,15356574.5
Amsterdam,ssp126,2043,Netherlands,15362421.5,11.736855309356308,125281033.10543072,27458.856571056684,33134.54195509226,21783.171187021104,407.84501729138776,295.44412409309894,520.2459104896765,3485384899.5809975,1742692449.7904987,5228077349.371496,15362421.5
Amsterdam,ssp126,2044,Netherlands,15364564.000000002,11.57228787744921,117779129.83500639,25814.603799456832,30873.694394142465,20755.513204771196,383.42301347162453,283.2331221832173,483.61290476003205,3276677965.0297236,1638338982.5148618,4915016947.544585,15364564.000000002
Amsterdam,ssp126,2045,Netherlands,15367055.0,11.695523196754099,124106541.9678931,27201.433855979943,32780.585721861746,21622.28199009814,404.021530635634,293.532380765222,514.5106805060459,3452709932.157797,1726354966.0788984,5179064898.236695,15367055.0
Amsterdam,ssp126,2046,Netherlands,15370214.499999998,11.849425586256105,135080012.22003344,29606.578020832625,36087.65894853418,23125.497093131067,439.74501609703293,311.39412349592146,568.0959086981445,3757997704.4945717,1878998852.2472858,5636996556.741858,15370214.499999998
Amsterdam,ssp126,2047,Netherlands,15372084.5,11.712704686005837,128719976.61693904,28212.597614674945,34170.93589006737,22254.25933928252,419.04029514908973,301.0417630219499,537.0388272762295,3581058135.09331,1790529067.546655,5371587202.639965,15372084.5
Amsterdam,ssp126,2048,Netherlands,15372016.999999998,11.766291593496911,132474359.56107667,29035.476068184562,35302.39376364309,22768.55837272603,431.26246748288395,307.15284918884703,555.3720857769212,3685507063.206219,1842753531.6031096,5528260594.809329,15372016.999999998
Amsterdam,ssp126,2049,Netherlands,15370918.000000002,11.82911333254759,137211939.94692194,30073.849851383526,36730.157715541674,23417.541987225384,446.68538112343856,314.86430600912433,578.5064562377527,3817309066.4949236,1908654533.2474618,5725963599.742386,15370918.000000002
Amsterdam,ssp126,2050,Netherlands,15368684.5,11.816447702301183,135864456.87704414,29778.51109634182,36324.06692735932,23232.955265324315,442.2987294307461,312.67098016277805,571.9264786987139,3779821371.6078596,1889910685.8039298,5669732057.411789,15368684.5
Amsterdam,ssp126,2051,Netherlands,15364012.499999998,11.809359287414821,135900946.03165936,29786.50871927118,36335.06365888719,23237.953779655167,442.41751772236603,312.73037430858807,572.104661136144,3780836519.2750034,1890418259.6375017,5671254778.912505,15364012.499999998
Amsterdam,ssp126,2052,Netherlands,15358043.499999998,11.775330339428539,134832831.2192261,29552.401363121422,36013.16604418128,23091.636682061566,438.9403329215396,310.99178190817486,566.8888839349042,3751120997.731209,1875560498.8656044,5626681496.596813,15358043.499999998
Amsterdam,ssp126,2053,Netherlands,15351454.500000002,11.932271918419849,142753134.98402795,31288.358352667037,38400.1069048065,24176.609800527578,464.72441488381367,323.8838228893119,605.5650068783154,3971468056.321477,1985734028.1607385,5957202084.482216,15351454.500000002
Amsterdam,ssp126,2054,Netherlands,15342758.5,11.55907188121831,118495408.08278912,25971.596292121543,31089.559071556443,20853.63351268664,385.75481507886855,284.3990229868393,487.11060717089777,3296605206.4232316,1648302603.2116158,4944907809.634848,15342758.5
Amsterdam,ssp126,2055,Netherlands,15332216.5,11.700424545287547,127939808.19195983,28041.601795501418,33935.81663870378,22147.386952299064,416.5005028366485,299.7718668657293,533.2291388075679,3559353435.0269895,1779676717.5134947,5339030152.540484,15332216.5
Amsterdam,ssp126,2056,Netherlands,15318620.000000002,11.62785455858372,124349149.29563805,27254.608064800763,32853.70025899037,21655.515870611154,404.8113244881152,293.9272776914626,515.6953712847678,3459459396.9066896,1729729698.4533448,5189189095.360035,15318620.000000002
Amsterdam,ssp126,2057,Netherlands,15302362.0,11.79096431440738,133407726.68074542,29240.04968345443,35583.682484639154,22896.416882269696,434.300989114009,308.67211000440955,559.9298682236085,3711473832.349325,1855736916.1746626,5567210748.523988,15302362.0
Amsterdam,ssp126,2058,Netherlands,15285258.499999998,11.756510398473594,133210297.76894292,29196.777593196348,35524.1833605343,22869.371825858394,433.65827093112034,308.35075091296517,558.9657909492756,3705981255.134082,1852990627.567041,5558971882.701122,15285258.499999998
Amsterdam,ssp126,2059,Netherlands,15267701.5,11.90831825759109,140945974.41174528,30892.268364221523,37855.483170693915,23929.053557749132,458.84131018247626,320.9422705386432,596.7403498263091,3921191889.102687,1960595944.5513434,5881787833.65403,15267701.5
